Name,Location
Massachusetts Institute of Technology (MIT),Cambridge
Stanford University,Stanford
Harvard University,Cambridge
University of California Berkeley (UCB),Berkeley
University of Chicago,Chicago
University of Pennsylvania,Philadelphia
Cornell University,Ithaca
California Institute of Technology (Caltech),Pasadena
Yale University,New Haven
Princeton University,Princeton
Columbia University,New York City
Johns Hopkins University,Baltimore
University of California Los Angeles (UCLA),Los Angeles
University of Michigan-Ann Arbor,Ann Arbor
New York University (NYU),New York City
Northwestern University,Evanston
Carnegie Mellon University,Pittsburgh
Duke University,Durham
University of Texas at Austin,Austin
University of California San Diego (UCSD),San Diego
University of Washington,Seattle
University of Illinois at Urbana-Champaign,Urbana
University of Illinois at Urbana-Champaign,Champaign
Brown University,Providence
Pennsylvania State University,State College
Boston University,Boston
Georgia Institute of Technology,Atlanta
Purdue University,West Lafayette
University of Wisconsin-Madison,Madison
University of Southern California,Los Angeles
University of California Davis,Davis
University of North Carolina at Chapel Hill,Chapel Hill
Texas A&M University,College Station
Michigan State University,East Lansing
Rice University,Houston
The Ohio State University,Columbus
Washington University in Saint Louis,Saint Louis
University of California Santa Barbara (UCSB),Santa Barbara
Emory University,Atlanta
University of Florida,Gainesville
University of Maryland College Park,College Park
Arizona State University,Tempe
University of Minnesota,Minneapolis
University of Pittsburgh-Pittsburgh campus,Pittsburgh
University of Arizona,Tucson
Dartmouth College,Hanover
Case Western Reserve University,Cleveland
University of Virginia (Main campus),Charlottesville
Georgetown University,Washington
Tufts University,Medford
Indiana University,Bloomington
University of Notre Dame,South Bend
University of California Irvine (UCI),Irvine
Vanderbilt University,Nashville
University of Massachusetts,Amherst
University of Rochester,Rochester
University of Colorado Boulder,Boulder
