Location,Numbeo page
Amherst,https://www.numbeo.com/cost-of-living/in/Amherst-MA-United-States
Ann Arbor,https://www.numbeo.com/cost-of-living/in/Ann-Arbor
Atlanta,https://www.numbeo.com/cost-of-living/in/Atlanta
Austin,https://www.numbeo.com/cost-of-living/in/Austin
Baltimore,https://www.numbeo.com/cost-of-living/in/Baltimore
Berkeley,https://www.numbeo.com/cost-of-living/in/Berkeley
Bloomington,https://www.numbeo.com/cost-of-living/in/Bloomington
Boston,https://www.numbeo.com/cost-of-living/in/Boston
Boulder,https://www.numbeo.com/cost-of-living/in/Boulder
Cambridge,https://www.numbeo.com/cost-of-living/in/Cambridge
Champaign,https://www.numbeo.com/cost-of-living/in/Champaign
Chapel Hill,https://www.numbeo.com/cost-of-living/in/Chapel-Hill
Charlottesville,https://www.numbeo.com/cost-of-living/in/Charlottesville
Chicago,https://www.numbeo.com/cost-of-living/in/Chicago
Cleveland,https://www.numbeo.com/cost-of-living/in/Cleveland
College Park,https://www.numbeo.com/cost-of-living/in/College-Park-MD-United-States
College Station,https://www.numbeo.com/cost-of-living/in/College-Station
Columbus,https://www.numbeo.com/cost-of-living/in/Columbus
Davis,https://www.numbeo.com/cost-of-living/in/Davis-CA-United-States
Durham,https://www.numbeo.com/cost-of-living/in/Durham
East Lansing,https://www.numbeo.com/cost-of-living/in/East-Lansing-MI-United-States
Evanston,https://www.numbeo.com/cost-of-living/in/Evanston-IL-United-States
Gainesville,https://www.numbeo.com/cost-of-living/in/Gainesville
Hanover,https://www.numbeo.com/cost-of-living/in/Hanover-NH-United-States
Houston,https://www.numbeo.com/cost-of-living/in/Houston
Irvine,https://www.numbeo.com/cost-of-living/in/Irvine
Ithaca,https://www.numbeo.com/cost-of-living/in/Ithaca
Los Angeles,https://www.numbeo.com/cost-of-living/in/Los-Angeles
Madison,https://www.numbeo.com/cost-of-living/in/Madison
Medford,https://www.numbeo.com/cost-of-living/in/Medford-MA-United-States
Minneapolis,https://www.numbeo.com/cost-of-living/in/Minneapolis
Nashville,https://www.numbeo.com/cost-of-living/in/Nashville
New Haven,https://www.numbeo.com/cost-of-living/in/New-Haven
New York City,https://www.numbeo.com/cost-of-living/in/New-York
Pasadena,https://www.numbeo.com/cost-of-living/in/Pasadena
Philadelphia,https://www.numbeo.com/cost-of-living/in/Philadelphia
Pittsburgh,https://www.numbeo.com/cost-of-living/in/Pittsburgh
Princeton,https://www.numbeo.com/cost-of-living/in/Princeton
Providence,https://www.numbeo.com/cost-of-living/in/Providence
Rochester,https://www.numbeo.com/cost-of-living/in/Rochester
Saint Louis,https://www.numbeo.com/cost-of-living/in/Saint-Louis
San Diego,https://www.numbeo.com/cost-of-living/in/San-Diego
Santa Barbara,https://www.numbeo.com/cost-of-living/in/Santa-Barbara
Seattle,https://www.numbeo.com/cost-of-living/in/Seattle
South Bend,https://www.numbeo.com/cost-of-living/in/South-Bend-IN-United-States
Stanford,https://www.numbeo.com/cost-of-living/in/Stanford-CA
State College,https://www.numbeo.com/cost-of-living/in/State-College
Tempe,https://www.numbeo.com/cost-of-living/in/Tempe
Tucson,https://www.numbeo.com/cost-of-living/in/Tucson
Urbana,https://www.numbeo.com/cost-of-living/in/Urbana-IL-United-States
Washington,https://www.numbeo.com/cost-of-living/in/Washington
West Lafayette,https://www.numbeo.com/cost-of-living/in/West-Lafayette-IN-United-States
